StateAbbr,PlaceName,BPHIGH_CrudePrev,CANCER_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,TEETHLOST_CrudePrev
MI,Sterling Heights,32.9,7.0,6.7,20.8,9.8,39.2,32.3,35.7,12.4
MI,Troy,29.7,7.0,5.3,14.5,8.0,39.1,23.6,34.0,8.5
MI,Warren,35.6,7.1,7.7,24.3,11.1,40.3,35.3,38.0,15.8
MI,Westland,33.6,7.0,6.7,24.3,9.3,38.0,31.4,39.8,13.7
MI,Wyoming,28.4,5.7,5.6,22.3,9.1,34.6,31.2,35.0,14.4
MN,Bloomington,27.8,7.6,5.4,14.2,7.8,34.3,22.8,28.1,7.9
MN,Brooklyn Park,25.3,5.2,4.1,17.7,7.6,30.8,25.2,33.1,9.7
MN,Duluth,24.9,6.4,5.6,20.4,8.0,32.3,28.4,30.1,13.4
MN,Minneapolis,22.7,4.8,3.9,17.8,6.9,28.7,25.2,31.2,10.7
MN,Plymouth,23.6,6.6,4.1,12.2,6.3,31.3,21.4,27.0,6.0
MN,Rochester,23.0,6.5,4.7,15.0,7.1,31.0,27.3,29.5,9.2
MN,St. Paul,23.5,5.5,4.6,19.9,8.2,29.9,26.0,31.3,13.3
MS,Gulfport,40.8,5.9,6.7,25.0,12.8,36.6,35.7,38.9,20.7
MS,Jackson,43.9,5.3,6.4,23.1,14.8,34.7,39.5,43.6,24.0
MO,Columbia,23.4,4.7,4.1,20.6,7.0,30.9,27.1,29.7,13.7
MO,Independence,34.5,7.5,7.6,23.9,11.6,42.8,35.1,33.0,18.9
MO,Kansas City,33.4,5.9,6.1,22.6,11.8,37.6,37.1,35.7,19.6
MO,Lee's Summit,28.9,6.9,5.2,17.2,8.4,37.7,31.2,30.6,12.1
MO,O'Fallon,27.0,6.0,4.5,19.6,7.3,31.8,29.5,33.2,13.1
MO,St. Joseph,33.9,6.9,6.9,24.9,10.8,39.6,34.0,37.3,21.3
MO,St. Louis,34.0,5.5,6.5,25.8,12.9,33.0,35.5,39.0,24.6
MO,Springfield,30.4,6.6,6.6,25.2,10.0,36.6,33.9,33.6,20.5
MT,Billings,28.8,7.2,5.8,18.8,7.8,32.6,25.9,29.5,15.9
MT,Missoula,20.9,5.7,4.5,19.4,5.9,30.0,22.3,29.0,13.4
NE,Lincoln,23.9,5.8,4.6,17.5,7.0,33.3,29.6,30.5,10.4
NE,Omaha,29.4,6.1,5.4,21.3,9.2,35.0,31.7,32.6,13.9
NV,Henderson,26.2,6.6,5.5,16.9,8.6,34.8,24.3,36.0,13.0
NV,Las Vegas,27.4,5.8,6.0,20.0,10.2,35.1,27.8,39.0,18.1
NV,North Las Vegas,25.7,4.4,5.0,21.9,10.1,32.5,29.8,41.8,21.7
NV,Reno,27.0,6.0,5.6,20.2,8.6,37.4,24.5,33.6,16.2
NV,Sparks,27.7,6.2,5.6,20.4,8.9,38.0,25.0,33.9,17.2
NH,Manchester,28.5,6.4,5.7,20.1,8.8,34.6,29.2,36.5,16.3
NH,Nashua,28.3,6.7,5.5,17.3,8.7,34.7,27.8,35.4,14.3
